Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,X,Y,Victima,Acusado,Sexo,Edad,Gravedad
175,1,2019,SD,SD,-58.393345,-34.610431,SD,SD,Varon,75,SD
176,1,2019,SD,SD,-58.445941,-34.562848,SD,SD,Mujer,35,SD
177,1,2019,SD,SD,-58.462294,-34.586605,SD,SD,Mujer,35,SD
178,1,2019,SD,SD,-58.469389,-34.664989,MOTO,SD,Mujer,2,SD
179,1,2019,SD,SD,-58.42049,-34.599377,SD,SD,Varon,26,SD
180,1,2019,SD,SD,-58.426443,-34.597899,CICLISTA,SD,Varon,13,SD
181,2,2019,SD,SD,-58.388958,-34.613636,SD,SD,Mujer,13,SD
182,1,2019,SD,SD,-58.476163,-34.63392,SD,SD,Varon,6,SD
183,1,2019,SD,SD,-58.529911,-34.625715,MOTO,SD,Varon,75,SD
184,4,2019,SD,SD,-58.444532,-34.660967,SD,SD,Varon,39,SD
185,1,2019,SD,SD,-58.529846,-34.641786,MOTO,SD,Varon,22,SD
186,1,2019,SD,SD,SD,SD,SD,SD,Mujer,29,SD
187,1,2019,SD,SD,-58.433539,-34.645615,AUTO,SD,Varon,9,SD
188,1,2019,SD,SD,-58.450308,-34.577489,SD,SD,Varon,32,SD
189,2,2019,SD,SD,-58.44433,-34.684771,SD,SD,Varon,42,SD
190,1,2019,SD,SD,-58.472026,-34.663153,SD,SD,Varon,83,SD
191,1,2019,SD,SD,-58.464645,-34.578709,SD,SD,Varon,62,SD
192,1,2019,SD,SD,-58.416247,-34.651565,SD,SD,Varon,62,SD
193,1,2019,SD,SD,-58.486537,-34.663263,SD,SD,SD,18,SD
194,1,2019,SD,SD,-58.424784,-34.593775,SD,SD,Varon,18,SD
195,1,2019,SD,SD,-58.421124,-34.604067,SD,SD,Varon,29,SD
196,1,2019,SD,SD,-58.432741,-34.634017,SD,SD,Varon,29,SD
197,1,2019,SD,SD,-58.489134,-34.577172,SD,SD,Mujer,30,SD
198,1,2019,SD,SD,-58.425922,-34.606005,SD,SD,Varon,30,SD
199,1,2019,SD,SD,-58.463357,-34.575009,MOTO,SD,Varon,32,SD
200,1,2019,SD,SD,-58.407267,-34.574885,SD,SD,Varon,41,SD
201,1,2019,SD,SD,-58.529939,-34.640558,SD,SD,Varon,64,SD
202,1,2019,SD,SD,-58.529089,-34.638866,SD,SD,Mujer,64,SD
203,1,2019,SD,SD,-58.473861,-34.653491,SD,SD,Varon,33,SD
204,1,2019,SD,SD,-58.400427,-34.623561,SD,SD,Varon,31,SD
205,1,2019,SD,SD,-58.391945,-34.596423,SD,SD,Mujer,31,SD
206,1,2019,SD,SD,-58.446208,-34.562943,SD,SD,Varon,20,SD
207,1,2019,SD,SD,-58.38198,-34.595402,AUTO,SD,Varon,34,SD
208,1,2019,SD,SD,-58.392246,-34.651352,AUTO,SD,Varon,5,SD
209,1,2019,SD,SD,-58.500707,-34.595503,SD,SD,SD,6,SD
210,1,2019,SD,SD,-58.394403,-34.599673,SD,SD,Mujer,17,SD
211,1,2019,SD,SD,-58.410235,-34.596947,SD,SD,Varon,40,SD
212,1,2019,SD,SD,-58.509727,-34.607279,SD,SD,Varon,40,SD
213,1,2019,SD,SD,-58.515191,-34.663764,MOTO,SD,Varon,SD,SD
214,1,2019,SD,SD,-58.391962,-34.595838,SD,SD,Mujer,SD,SD
215,1,2019,SD,SD,-58.382844,-34.592833,PEATON,SD,Varon,58,SD
216,1,2019,SD,SD,-58.508054,-34.622709,SD,SD,Varon,42,SD
217,1,2019,SD,SD,-58.459544,-34.63189,CICLISTA,SD,Varon,58,SD
218,1,2019,SD,SD,-58.362549,-34.624288,CICLISTA,SD,Mujer,58,SD
219,1,2019,SD,SD,-58.465848,-34.539578,CICLISTA,SD,Mujer,43,SD
220,1,2019,SD,SD,-58.446667,-34.60107,CICLISTA,SD,Mujer,24,SD
221,3,2019,SD,SD,-58.395531,-34.587417,SD,SD,Varon,33,SD
222,1,2019,SD,SD,-58.524295,-34.634469,SD,SD,Varon,24,SD
223,1,2019,SD,SD,-58.496893,-34.596645,MOTO,SD,Varon,35,SD
224,2,2019,SD,SD,-58.472416,-34.636985,MOTO,SD,Varon,SD,SD
225,1,2019,SD,SD,-58.487251,-34.625617,SD,SD,Varon,70,SD
226,1,2019,SD,SD,-58.528858,-34.650136,SD,SD,Varon,70,SD
227,1,2019,SD,SD,-58.394403,-34.599673,AUTO,SD,Varon,38,SD
228,1,2019,SD,SD,-58.452017,-34.606166,SD,SD,Varon,24,SD
229,1,2019,SD,SD,SD,SD,SD,SD,Mujer,33,SD
230,1,2019,SD,SD,-58.422407,-34.612074,MOTO,SD,Varon,38,SD
231,1,2019,SD,SD,-58.411737,-34.580471,SD,SD,Varon,58,SD
232,1,2019,SD,SD,-58.393205,-34.618232,PEATON,SD,Varon,34,SD
233,1,2019,SD,SD,-58.484193,-34.646736,SD,SD,Varon,41,SD
234,1,2019,SD,SD,-58.46846,-34.583143,SD,SD,Mujer,SD,SD
235,1,2019,SD,SD,-58.4761,-34.688255,SD,SD,Mujer,SD,SD
236,1,2019,SD,SD,-58.490577,-34.615881,SD,SD,Varon,43,SD
237,1,2019,SD,SD,-58.431108,-34.64219,MOTO,SD,Varon,18,SD
238,1,2019,SD,SD,-58.384398,-34.622312,SD,SD,Varon,40,SD
239,1,2019,SD,SD,-58.482357,-34.67499,SD,SD,Varon,31,SD
240,1,2019,SD,SD,-58.492907,-34.597067,SD,SD,Mujer,55,SD
241,1,2019,SD,SD,-58.382848,-34.626957,SD,SD,Varon,49,SD
242,1,2019,SD,SD,-58.405162,-34.603342,SD,SD,Varon,29,SD
243,1,2019,SD,SD,-58.409367,-34.632884,MOTO,SD,Mujer,42,SD
244,1,2019,SD,SD,-58.499786,-34.658167,SD,SD,Varon,26,SD
245,1,2019,SD,SD,-58.385881,-34.617847,SD,SD,SD,SD,SD
246,1,2019,SD,SD,-58.476532,-34.569628,SD,SD,Varon,54,SD
247,1,2019,SD,SD,-58.392925,-34.613989,SD,SD,Mujer,62,SD
248,1,2019,SD,SD,-58.483964,-34.604299,SD,SD,Varon,24,SD
249,1,2019,SD,SD,-58.385627,-34.57822,MOTO,SD,Varon,12,SD
250,1,2019,SD,SD,-58.474619,-34.576637,SD,SD,Varon,33,SD
251,1,2019,SD,SD,-58.377009,-34.594681,SD,SD,Varon,34,SD
252,1,2019,SD,"PAZ, GRAL. AV. y ACHA, MARIANO, GRAL.",,,SD,SD,Varon,39,SD
253,1,2019,SD,DEL LIBERTADOR AV. 100,,,SD,SD,Varon,31,SD
254,2,2019,SD,SD,-58.494612,-34.597052,SD,SD,Varon,36,SD
255,1,2019,SD,SD,-58.413828,-34.62075,SD,SD,Varon,42,SD
256,2,2019,SD,SD,-58.518662,-34.639166,SD,SD,Varon,42,SD
257,1,2019,SD,SD,-58.424079,-34.570823,MOTO,SD,Mujer,28,SD
258,5,2019,SD,SD,-58.459916,-34.558288,SD,SD,Varon,24,SD
259,1,2019,SD,SD,-58.523033,-34.63416,AUTO,SD,Varon,60,SD
260,1,2019,SD,SD,-58.466709,-34.630079,PEATON,SD,Varon,SD,SD
261,1,2019,SD,SD,-58.486173,-34.669018,SD,SD,Varon,SD,SD
262,1,2019,SD,SD,-58.48895,-34.663345,MOTO,SD,Varon,SD,SD
263,1,2019,SD,SD,-58.510435,-34.611651,SD,SD,Varon,41,SD
264,1,2019,SD,SD,-58.442927,-34.62935,SD,SD,SD,SD,SD
265,1,2019,SD,SD,-58.383787,-34.624729,SD,SD,Varon,44,SD
266,1,2019,SD,SD,-58.451578,-34.630637,SD,SD,Mujer,SD,SD
267,1,2019,SD,SD,-58.460668,-34.614347,SD,SD,Varon,41,SD
268,1,2019,SD,SD,-58.466546,-34.599563,SD,SD,Mujer,54,SD
269,2,2019,SD,SD,-58.398009,-34.638178,AUTO,SD,Mujer,67,SD
270,1,2019,SD,SD,-58.372344,-34.648803,SD,SD,Mujer,74,SD
271,1,2019,SD,SD,-58.427028,-34.596165,SD,SD,Mujer,64,SD
272,1,2019,SD,SD,-58.428215,-34.620496,SD,SD,Varon,34,SD
273,1,2019,SD,SD,-58.410086,-34.589056,MOTO,SD,Mujer,36,SD
274,1,2019,SD,TRONADOR y GIRIBONE,,,SD,SD,Mujer,25,SD
275,1,2019,SD,SD,-58.514522,-34.581598,SD,SD,Mujer,35,SD
276,1,2019,SD,SD,-58.529565,-34.631052,SD,SD,Varon,SD,SD
277,1,2019,SD,SD,-58.400151,-34.625865,SD,SD,Mujer,43,SD
278,1,2019,SD,SD,-58.520806,-34.595076,SD,SD,Varon,30,SD
279,2,2019,SD,SD,-58.389762,-34.623979,SD,SD,Mujer,58,SD
280,1,2019,SD,SD,SD,SD,SD,SD,Varon,41,SD
281,1,2019,SD,SD,-58.506154,-34.563908,SD,SD,Varon,26,SD
282,3,2019,SD,SD,-58.45825,-34.640955,SD,SD,Varon,42,SD
283,2,2019,SD,SD,-58.478544,-34.636992,SD,SD,Varon,22,SD
284,2,2019,SD,SD,-58.394178,-34.651515,MOTO,SD,Varon,SD,SD
285,1,2019,SD,SD,-58.456711,-34.626665,MOTO,SD,Varon,SD,SD
286,2,2019,SD,SD,-58.495821,-34.649627,SD,SD,Varon,29,SD
287,1,2019,SD,SD,-58.468485,-34.633285,SD,SD,Mujer,SD,SD
288,2,2019,SD,SD,-58.443538,-34.592799,MOTO,SD,Varon,36,SD
289,1,2019,SD,PASEO COLON AV. y MEXICO,,,SD,SD,Varon,45,SD
290,1,2019,SD,SD,-58.440332,-34.58257,CICLISTA,SD,Varon,23,SD
291,1,2019,SD,SD,-58.371301,-34.59875,CICLISTA,SD,Varon,25,SD
292,1,2019,SD,SD,-58.503947,-34.610056,CICLISTA,SD,Mujer,SD,SD
293,2,2019,SD,SD,-58.360825,-34.604906,MOTO,SD,varon,34,SD
294,2,2019,SD,SD,-58.501639,-34.67398,SD,SD,varon,37,SD
295,1,2019,SD,SD,-58.385364,-34.642873,SD,SD,Mujer,24,SD
296,2,2019,SD,SD,-58.444303,-34.594763,SD,SD,Varon,24,SD
297,1,2019,SD,SD,-58.426519,-34.646959,MOTO,SD,Varon,52,SD
298,1,2019,SD,SD,-58.442401,-34.606546,MOTO,SD,Varon,34,SD
299,1,2019,SD,SD,-58.45153,-34.601157,SD,SD,Varon,34,SD
300,1,2019,SD,SD,-58.397332,-34.609623,SD,SD,Varon,33,SD
301,1,2019,SD,SD,-58.506827,-34.602719,SD,SD,Mujer,39,SD
302,1,2019,SD,SD,-58.421579,-34.597826,SD,SD,Varon,39,SD
303,1,2019,SD,SD,-58.485669,-34.544014,MOTO,SD,Mujer,SD,SD
304,1,2019,SD,SD,-58.382001,-34.600286,AUTO,SD,Varon,27,SD
305,1,2019,SD,SD,-58.37226,-34.586564,SD,SD,Varon,31,SD
306,1,2019,SD,SD,-58.366072,-34.640511,SD,SD,Varon,SD,SD
307,1,2019,SD,SD,-58.39498,-34.615125,SD,SD,Mujer,70,SD
308,1,2019,SD,SD,-58.521201,-34.618822,SD,SD,Mujer,32,SD
309,1,2019,SD,SD,-58.461303,-34.564764,SD,SD,Varon,25,SD
310,1,2019,SD,SD,-58.471783,-34.629833,SD,SD,Varon,27,SD
311,2,2019,SD,SD,-58.369118,-34.63161,SD,SD,Varon,47,SD
312,1,2019,SD,SD,-58.404669,-34.650456,MOTO,SD,Varon,50,SD
313,1,2019,SD,SD,-58.465942,-34.610285,SD,SD,Mujer,35,SD
314,1,2019,SD,SD,-58.376713,-34.585711,PEATON,SD,Varon,25,SD
315,1,2019,SD,SD,-58.455339,-34.684708,SD,SD,Varon,54,SD
316,1,2019,SD,SD,-58.457774,-34.68645,PEATON,SD,Varon,34,SD
317,1,2019,SD,SD,-58.450181,-34.628186,SD,SD,Mujer,34,SD
318,1,2019,SD,SD,-58.420122,-34.58137,AUTO,SD,Mujer,38,SD
319,1,2019,SD,SD,-58.443776,-34.562969,CICLISTA,SD,Varon,75,SD
320,3,2019,SD,SD,-58.384663,-34.613334,SD,SD,Mujer,58,SD
321,2,2019,SD,SD,-58.38145,-34.619753,SD,SD,Varon,31,SD
322,3,2019,SD,SD,-58.504211,-34.66344,SD,SD,varon,59,SD
323,1,2019,SD,SD,-58.504211,-34.66344,AUTO,SD,Varon,73,SD
324,1,2019,SD,SD,-58.522341,-34.598144,SD,SD,Mujer,41,SD
325,1,2019,SD,SD,-58.370097,-34.602996,PEATON,SD,Varon,31,SD
326,2,2019,SD,SD,-58.452573,-34.668054,SD,SD,Varon,42,SD
327,2,2019,SD,SD,-58.498783,-34.584182,SD,SD,Varon,45,SD
328,1,2019,SD,SD,-58.476676,-34.579569,AUTO,SD,Mujer,45,SD
329,1,2019,SD,SD,-58.400349,-34.624187,AUTO,SD,Mujer,33,SD
