Id,Victimas,Año,Tipo_calle,Direccion_Normalizada,Victima,Acusado
267,1,2023,SD,DIST. 9 DE JULIO,SD,SD
268,2,2023,SD,AV. LUGONES,SD,SD
269,2,2023,SD,DIST. 9 DE JULIO,SD,SD
270,1,2023,SD,AU 25 DE MAYO,SD,SD
271,2,2023,SD,AU 25 DE MAYO,SD,SD
272,2,2023,SD,AV. LUGONES,SD,SD
273,2,2023,SD,AU 25 DE MAYO,SD,SD
274,1,2023,SD,AU DELLEPIANE,SD,SD
275,1,2023,SD,AU 25 DE MAYO,SD,SD
276,1,2023,SD,AV. LUGONES,SD,SD
277,2,2023,SD,AU 25 DE MAYO,SD,SD
278,2,2023,SD,AU 25 DE MAYO,SD,SD
279,1,2023,SD,AU DELLEPIANE,SD,SD
280,1,2023,SD,PASEO DEL BAJO,SD,SD
281,3,2023,SD,AU PERITO MORENO,SD,SD
282,2,2023,SD,AU 25 DE MAYO,SD,SD
283,3,2023,SD,AU DELLEPIANE,SD,SD
284,1,2023,SD,AU PERITO MORENO,SD,SD
285,4,2023,SD,AU 25 DE MAYO,SD,SD
286,2,2023,SD,AU PERITO MORENO,SD,SD
287,1,2023,SD,AU ILLIA,SD,SD
288,1,2023,SD,DIST. 9 DE JULIO,SD,SD
289,4,2023,SD,AU 25 DE MAYO,SD,SD
290,2,2023,SD,AV. LUGONES,SD,SD
291,3,2023,SD,AU PERITO MORENO,SD,SD
292,2,2023,SD,AU PERITO MORENO,SD,SD
293,2,2023,SD,AU CAMPORA,SD,SD
294,3,2023,SD,AU 25 DE MAYO,SD,SD
295,2,2023,SD,AU 25 DE MAYO,SD,SD
296,2,2023,SD,AU 25 DE MAYO,SD,SD
297,1,2023,SD,AU 25 DE MAYO,SD,SD
298,1,2023,SD,AU CAMPORA,SD,SD
299,1,2023,SD,AV. LUGONES,SD,SD
300,1,2023,SD,AU FRONDIZI,SD,SD
301,2,2023,SD,AU DELLEPIANE,SD,SD
302,1,2023,SD,AU DELLEPIANE,SD,SD
303,2,2023,SD,AU 25 DE MAYO,SD,SD
304,2,2023,SD,AU PERITO MORENO,SD,SD
305,1,2023,SD,AU PERITO MORENO,SD,SD
306,1,2023,SD,AU 25 DE MAYO,SD,SD
307,2,2023,SD,DIST. 9 DE JULIO,SD,SD
308,2,2023,SD,AU 25 DE MAYO,SD,SD
309,1,2023,SD,AU PERITO MORENO,SD,SD
310,1,2023,SD,AU 25 DE MAYO,SD,SD
311,1,2023,SD,AU DELLEPIANE,SD,SD
312,2,2023,SD,AV. LUGONES,SD,SD
313,2,2023,SD,AU 25 DE MAYO,SD,SD
314,3,2023,SD,AU FRONDIZI,SD,SD
315,1,2023,SD,DIST. DELLEPIANE,SD,SD
316,2,2023,SD,AU FRONDIZI,SD,SD
317,1,2023,SD,TRANSICION RAMAL 4,SD,SD
318,3,2023,SD,AU CAMPORA,SD,SD
319,2,2023,SD,AU 25 DE MAYO,SD,SD
320,3,2023,SD,AU ILLIA,SD,SD
321,1,2023,SD,AU 25 DE MAYO,SD,SD
322,1,2023,SD,AU CAMPORA,SD,SD
323,2,2023,SD,AU PERITO MORENO,SD,SD
324,2,2023,SD,AU PERITO MORENO,SD,SD
325,2,2023,SD,AU DELLEPIANE,SD,SD
326,1,2023,SD,AU 25 DE MAYO,SD,SD
327,1,2023,SD,AU CAMPORA,SD,SD
328,1,2023,SD,AU PERITO MORENO,SD,SD
329,2,2023,SD,AU FRONDIZI,SD,SD
330,5,2023,SD,AU PERITO MORENO,SD,SD
331,1,2023,SD,AU 25 DE MAYO,SD,SD
332,2,2023,SD,AU 25 DE MAYO,SD,SD
333,1,2023,SD,AU 25 DE MAYO,SD,SD
334,1,2023,SD,AU FRONDIZI,SD,SD
335,2,2023,SD,AU FRONDIZI,SD,SD
336,3,2023,SD,AU 25 DE MAYO,SD,SD
337,1,2023,SD,AU 25 DE MAYO,SD,SD
338,2,2023,SD,AU 25 DE MAYO,SD,SD
339,2,2023,SD,AU PERITO MORENO,SD,SD
340,2,2023,SD,AU 25 DE MAYO,SD,SD
341,1,2023,SD,AU DELLEPIANE,SD,SD
342,2,2023,SD,AU DELLEPIANE,SD,SD
343,1,2023,SD,AV. LUGONES,SD,SD
344,1,2023,SD,AV. CANTILO,SD,SD
345,2,2023,SD,AU CAMPORA,SD,SD
346,3,2023,SD,AV. CANTILO,SD,SD
347,2,2023,SD,AV. LUGONES,SD,SD
348,1,2023,SD,AU 25 DE MAYO,SD,SD
349,1,2023,SD,DIST. 9 DE JULIO,SD,SD
350,1,2023,SD,AU 25 DE MAYO,SD,SD
351,1,2023,SD,AV. CANTILO,SD,SD
352,1,2023,SD,AU PERITO MORENO,SD,SD
353,2,2023,SD,AU PERITO MORENO,SD,SD
354,1,2023,SD,AU DELLEPIANE,SD,SD
355,1,2023,SD,AU ILLIA,SD,SD
356,3,2023,SD,AV. LUGONES,SD,SD
357,1,2023,SD,AV. CANTILO,SD,SD
358,1,2023,SD,AU DELLEPIANE,SD,SD
359,2,2023,SD,AU FRONDIZI,SD,SD
